UTC TIME SEC  ,CH2 VOLT DC  ,Converted UTC Time,Converted Local Time,Converted Amps,mA
1475537899.08,1.551133,2016-10-03 23:38:19.080,19:38:19.080,0.007134926402944,7.13492640294388
1475537900.378,1.567749,2016-10-03 23:38:20.378,19:38:20.378,0.007211356945722,7.21135694572217
1475537901.681,1.777921,2016-10-03 23:38:21.681,19:38:21.681,0.008178109475621,8.17810947562098
1475537902.98,1.983313,2016-10-03 23:38:22.980,19:38:22.980,0.009122874885005,9.1228748850046
1475537904.278,2.013282,2016-10-03 23:38:24.278,19:38:24.278,0.009260726770929,9.26072677092916
1475537905.835,2.009417,2016-10-03 23:38:25.835,19:38:25.835,0.009242948482061,9.24294848206072
1475537907.198,1.922274,2016-10-03 23:38:27.198,19:38:27.198,0.008842106715731,8.84210671573137
1475537908.528,1.809063,2016-10-03 23:38:28.528,19:38:28.528,0.008321356945722,8.32135694572217
1475537909.824,1.761892,2016-10-03 23:38:29.824,19:38:29.824,0.008104379024839,8.10437902483901
1475537911.119,1.761086,2016-10-03 23:38:31.119,19:38:31.119,0.008100671573137,8.10067157313707
1475537912.418,1.79384,2016-10-03 23:38:32.418,19:38:32.418,0.008251333946642,8.25133394664213
1475537913.715,1.878968,2016-10-03 23:38:33.715,19:38:33.715,0.008642907083717,8.64290708371665
1475537915.013,1.951309,2016-10-03 23:38:35.013,19:38:35.013,0.008975662373505,8.97566237350506
1475537916.57,1.95098,2016-10-03 23:38:36.570,19:38:36.570,0.008974149034039,8.97414903403864
1475537917.936,1.954277,2016-10-03 23:38:37.936,19:38:37.936,0.008989314627415,8.9893146274149
1475537919.265,1.992967,2016-10-03 23:38:39.265,19:38:39.265,0.00916728150874,9.16728150873965
1475537920.564,2.03052,2016-10-03 23:38:40.564,19:38:40.564,0.009340018399264,9.34001839926403
1475537921.862,2.034093,2016-10-03 23:38:41.862,19:38:41.862,0.009356453541858,9.35645354185832
1475537923.16,2.034404,2016-10-03 23:38:43.160,19:38:43.160,0.009357884084637,9.35788408463661
1475537924.458,1.979118,2016-10-03 23:38:44.458,19:38:44.458,0.009103578656854,9.10357865685373
1475537926.015,1.868417,2016-10-03 23:38:46.015,19:38:46.015,0.008594374425023,8.594374425023
1475537927.375,1.826943,2016-10-03 23:38:47.375,19:38:47.375,0.008403601655934,8.40360165593376
1475537928.705,1.830057,2016-10-03 23:38:48.705,19:38:48.705,0.008417925482981,8.41792548298068
