PCB: 008
ASM: 000
LOT: 00000
FW:  1470628829
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0064 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475538025.286,-2.884864E-05, 2.013795E000
1475538026.913,-4.808107E-06, 2.015389E000
1475538028.246,-9.616215E-06, 1.995733E000
1475538029.545,-3.365675E-05, 1.886424E000
1475538030.841,-3.365675E-05, 1.778672E000
1475538032.141,-9.616215E-06, 1.766527E000
1475538033.438,-1.923242E-05, 1.760591E000
1475538034.736,-3.365675E-05, 1.820458E000
1475538036.034,-2.404053E-05, 1.906172E000
1475538037.649,-3.846485E-05, 1.946840E000
1475538038.976,-2.884864E-05, 1.947701E000
1475538040.276,-2.404053E-05, 1.968548E000
1475538041.575,-1.442432E-05, 2.007054E000
1475538042.873,-3.365675E-05, 2.036566E000
1475538044.176,-1.923242E-05, 2.037189E000
1475538045.473,-2.404053E-05, 2.033964E000
1475538047.091,-2.884864E-05, 1.924546E000
1475538048.421,-2.884864E-05, 1.833043E000
1475538049.721,-1.442432E-05, 1.829159E000
1475538051.018,-3.365675E-05, 1.830130E000
1475538052.319,-1.923242E-05, 1.730567E000
1475538053.616,-1.923242E-05, 1.590885E000
1475538054.915,-1.923242E-05, 1.523563E000
1475538056.214,-2.404053E-05, 1.524095E000
1475538057.826,-2.404053E-05, 1.530616E000
1475538059.156,-1.923242E-05, 1.541443E000
1475538060.460,-1.442432E-05, 1.545601E000
1475538061.757,-2.884864E-05, 1.541699E000
1475538063.055,-3.365675E-05, 1.593725E000
1475538064.353,-2.884864E-05, 1.810162E000
1475538065.651,-2.884864E-05, 2.004453E000
1475538067.273,-2.884864E-05, 2.014839E000
1475538068.603,-1.923242E-05, 2.011560E000
1475538069.901,-9.616215E-06, 1.908553E000
1475538071.199,-9.616215E-06, 1.796954E000
1475538072.498,-2.404053E-05, 1.768194E000
1475538073.796,-9.616215E-06, 1.763779E000
1475538075.096,-4.808107E-06, 1.806096E000
1475538076.464,-1.923242E-05, 1.893843E000
1475538078.008,-3.365675E-05, 1.946602E000
1475538079.306,-1.923242E-05, 1.945759E000
1475538080.604,-1.923242E-05, 1.959223E000
1475538081.903,-2.884864E-05, 1.999561E000
1475538083.200,-2.884864E-05, 2.035320E000
1475538084.498,-2.884864E-05, 2.037866E000
1475538085.796,-1.442432E-05, 2.038233E000
1475538087.453,-2.404053E-05, 1.941582E000
1475538088.783,-2.404053E-05, 1.846012E000
1475538090.080,-1.923242E-05, 1.829049E000
1475538091.378,-4.327297E-05, 1.830643E000
1475538092.681,-1.923242E-05, 1.754730E000
1475538093.978,-1.923242E-05, 1.614022E000
1475538095.275,-1.923242E-05, 1.523160E000
1475538096.638,-2.884864E-05, 1.522702E000
1475538098.189,-3.846485E-05, 1.527282E000
1475538099.486,-4.327297E-05, 1.537174E000
1475538100.785,-2.404053E-05, 1.544832E000
1475538102.085,-2.884864E-05, 1.540893E000
1475538103.381,-3.365675E-05, 1.554962E000
1475538104.678,-3.365675E-05, 1.765941E000
1475538105.976,-3.365675E-05, 1.975124E000
